,Topic,Count,Name,Representation,Representative_Docs
98,97,28,97_drop_ldrop_dropfun_typevec,"['drop', 'ldrop', 'dropfun', 'typevec', 'append1', '1prod', 'listdrop', 'stream', 'wseq', 'llength']","['lemma drop_append_eq_append_drop {l₁ l₂ : list α} {n : ℕ} :\n  drop n (l₁ ++ l₂) = drop n l₁ ++ drop (n - l₁.length) l₂', 'theorem dropn_add (s : wseq α) (m) : ∀ n, drop s (m + n) = drop (drop s m) n', 'theorem drop_add : ∀ m n (l : list α), drop (m + n) l = drop m (drop n l)']"
99,98,28,98_swap_prodswap_yswap_xswap,"['swap', 'prodswap', 'yswap', 'xswap', 'equivswap', 'ispartialorder', 'swapswapeq', 'liftrelo', 'islinearorder', 's2']","['theorem is_total.swap (r) [is_total α r] : is_total α (swap r)', 'theorem is_partial_order.swap (r) [is_partial_order α r] : is_partial_order α (swap r)', 'theorem swap_comm (a b : α) : swap a b = swap b a']"
100,99,27,99_swap_equivswap_swapcore_covariantclass,"['swap', 'equivswap', 'swapcore', 'covariantclass', 'contravariantclass', 'decidableeq', 'perm', 'functioninjectiveswapapply', 'swapbijective', 'rightmulleone']","[""lemma mul_right_cancel'' [contravariant_class α α (swap (*)) (≤)]\n  {a b c : α} (h : a * b = c * b) :\n  a = c"", 'lemma le_one_of_mul_le_left [contravariant_class α α (swap (*)) (≤)] {a b : α} (h : a * b ≤ b) :\n  a ≤ 1', 'lemma get_left_swap (x : α ⊕ β) : x.swap.get_left = x.get_right']"
101,100,27,100_oneapply_onemul_numzero_onedef,"['oneapply', 'onemul', 'numzero', 'onedef', 'coeone', 'cauchy', 'zerosmulg', 'powzero', 'iteratezeroapply', 'cauchyzero']","['lemma one : is_idempotent_elem (1 : M₁)', 'lemma cauchy_zero : (0 : ℝ).cauchy = 0', 'lemma one_def : 1 = (mk 1 : Cauchy abv)']"
102,101,27,101_size_bounded_sized_issearchable,"['size', 'bounded', 'sized', 'issearchable', 'balance', 'balanced', 'lo', 'balance1node', 'lt', 'find']","[""theorem all_balance_l {P l x r}\n  (hl : balanced l) (hr : balanced r)\n  (sl : sized l) (sr : sized r)\n  (H : (∃ l', raised l' (size l) ∧ balanced_sz l' (size r)) ∨\n       (∃ r', raised (size r) r' ∧ balanced_sz (size l) r')) :\n  all P (@balance_l α l x r) ↔ all P l ∧ P x ∧ all P r"", 'theorem balance_l_eq_balance {l x r}\n  (sl : sized l) (sr : sized r)\n  (H1 : size l = 0 → size r ≤ 1)\n  (H2 : 1 ≤ size l → 1 ≤ size r → size r ≤ delta * size l) :\n  @balance_l α l x r = balance l x r', ""theorem size_balance_l {l x r}\n  (hl : balanced l) (hr : balanced r)\n  (sl : sized l) (sr : sized r)\n  (H : (∃ l', raised l' (size l) ∧ balanced_sz l' (size r)) ∨\n       (∃ r', raised (size r) r' ∧ balanced_sz (size l) r')) :\n  size (@balance_l α l x r) = size l + size r + 1""]"
103,102,26,102_gcd_mgcd_cop_bgcd,"['gcd', 'mgcd', 'cop', 'bgcd', 'bn', 'gcdmonoid', 'mcoprime', 'gcdb', 'am', 'gcdgcdselfleftleft']","['theorem gcd_dvd_gcd_mul_left_right [gcd_monoid α] (m n k : α) : gcd m n ∣ gcd m (k * n)', 'theorem gcd_dvd_gcd_of_dvd_right {m k : ℕ} (n : ℕ) (H : m ∣ k) : gcd n m ∣ gcd n k', 'theorem gcd_dvd_gcd_of_dvd_left {m k : ℕ} (n : ℕ) (H : m ∣ k) : gcd m n ∣ gcd k n']"
104,103,26,103_some_intfractpairstream_intfractpair_ifpn,"['some', 'intfractpairstream', 'intfractpair', 'ifpn', 'ifpsuccn', 'ifpnfr', 'gpn', 'dite', 'option', 'gpnb']","['lemma some_mod_some [has_mod α] (a b : α) : some a % some b = some (a % b)', 'lemma map₂_some_some (f : α → β → γ) (a : α) (b : β) :\n  map₂ f (some a) (some b) = some (f a b)', 'theorem seq_some {α β} {a : α} {f : α → β} : some f <*> some a = some (f a)']"
105,104,26,104_count_scanl_vval_countcons,"['count', 'scanl', 'vval', 'countcons', 'countconsself', 'multiset', 'then', 'else', 'if', 'nil']","['lemma duplicate_iff_two_le_count [decidable_eq α] : (x ∈+ l) ↔ 2 ≤ count x l', 'theorem count_le_of_le (a : α) {s t} : s ≤ t → count a s ≤ count a t', 'theorem count_sub (a : α) (s t : multiset α) : count a (s - t) = count a s - count a t']"
106,105,26,105_forallcongr_forallforallmerge_forall_prop,"['forallcongr', 'forallforallmerge', 'forall', 'prop', 'chain', 'forallmemtarget', 'forallapplyeqimpiff', 'forallforallconst', 'forallfinsuccpi', 'forallexistsindex']","[""theorem «forall» {p : (Σ' a, β a) → Prop} :\n  (∀ x, p x) ↔ (∀ a b, p ⟨a, b⟩)"", 'theorem «forall» {q : p → Prop} :\n  (∀ x, q x) ↔ (∀ x ∈ p, q ⟨x, ‹_›⟩)', ""theorem forall' {p : α → β → Prop} : (∀ x : α × β, p x.1 x.2) ↔ ∀ a b, p a b""]"
107,106,26,106_isunit_isunitiffexistsinv_isupperset_commmonoid,"['isunit', 'isunitiffexistsinv', 'isupperset', 'commmonoid', 'mulaction', 'monoid', 'smulcommclass', 'isscalartower', 'isunitiffsingleton', 'coetounits']","['theorem is_unit_of_mul_is_unit_left [comm_monoid M] {x y : M}\n  (hu : is_unit (x * y)) : is_unit x', 'lemma is_unit_unop {M} [monoid M] {m : Mᵐᵒᵖ} : is_unit (unop m) ↔ is_unit m', 'theorem of_irreducible_pow {α} [monoid α] {x : α} {n : ℕ} (hn : n ≠ 1) :\n  irreducible (x ^ n) → is_unit x']"
108,107,25,107_classicalimpliesiffnotor_notforalleq_notboundediff_decidablenotimpnot,"['classicalimpliesiffnotor', 'notforalleq', 'notboundediff', 'decidablenotimpnot', 'impfalse', 'notanddistribeq', 'iffnotcomm', 'falseiff', 'eqnoneiff', 'decidableimpiffnotor']","['theorem imp_false : (a → false) ↔ ¬ a', 'lemma false_iff (a : Prop) : (false ↔ a) ↔ ¬ a', ""theorem xor_iff_not_iff' : xor a b ↔ (¬a ↔ b)""]"
109,108,25,108_pred_ppred_fnextfixed_natpred,"['pred', 'ppred', 'fnextfixed', 'natpred', 'predorderpred', 'fixedpoints', 'nextfixedle', 'psetliftu', 'preveq', 'primepredpos']","['lemma pred_strict_mono : strict_mono (pred : α → α)', 'lemma pred_iterate (a : ℕ) : ∀ n, pred^[n] a = a - n', 'lemma pred_one_add (n : ℕ) : pred (1 + n) = n']"
110,109,25,109_ismulhom_muloneclass_group_of,"['ismulhom', 'muloneclass', 'group', 'of', 'lift', 'freemonoid', 'isgrouphom', 'isaddmonoidhom', 'liftcompof', 'ih']","['lemma lift_restrict (f : free_monoid α →* M) : lift (f ∘ of) = f', ""lemma lift_comp_of' (f : free_semigroup α →ₙ* β) : lift (f ∘ of) = f"", 'lemma lift_comp_of (f : α → M) : lift f ∘ of = f']"
111,110,24,110_strictmono_mono_issplitmono_strongmono,"['strictmono', 'mono', 'issplitmono', 'strongmono', 'preorder', 'strictmonoidle', 'strictmonoltifflt', 'strictmonoiffltsucc', 'issplitmonoiff', 'toprod']","['lemma mono_of_mono {X Y Z : C} (f : X ⟶ Y) (g : Y ⟶ Z) [mono (f ≫ g)] : mono f', 'lemma is_split_mono_of_mono [split_mono_category C] {X Y : C} (f : X ⟶ Y) [mono f] :\n  is_split_mono f', 'lemma is_iso_of_mono_of_is_split_epi {X Y : C} (f : X ⟶ Y) [mono f] [is_split_epi f] : is_iso f']"
112,111,24,111_posmulmono_covariantclass_mullecancellable_zeroleoneclass,"['posmulmono', 'covariantclass', 'mullecancellable', 'zeroleoneclass', 'a0', 'ha', 'hle', 'itenonnegofposofnonneg', 'leoflemulofleoneofnonnegleft', 'leftonelemulofleofle']","[""lemma mul_le_mul_of_nonpos_of_nonneg' (hca : c ≤ a) (hbd : b ≤ d) (ha : 0 ≤ a) (hd : d ≤ 0) :\n  a * b ≤ c * d"", 'lemma eq_one_of_mul_le_one_right (ha : 1 ≤ a) (hb : 1 ≤ b) (hab : a * b ≤ 1) : b = 1', 'lemma eq_one_of_one_le_mul_left (ha : a ≤ 1) (hb : b ≤ 1) (hab : 1 ≤ a * b) : a = 1']"
113,112,24,112_replicate_replicatesucc_memreplicate_filtereq,"['replicate', 'replicatesucc', 'memreplicate', 'filtereq', 'count', 'nthreplicate', 'eqreplicatecard', 'eqreplicate', 'coereplicate', 'eqreplicateiff']","['theorem replicate_sublist_replicate (a : α) {m n} :\n  replicate m a <+ replicate n a ↔ m ≤ n', 'theorem replicate_add (m n) (a : α) : replicate (m + n) a = replicate m a ++ replicate n a', 'theorem replicate_succ (a : α) (n) : replicate (n + 1) a = a :: replicate n a']"
114,113,24,113_uy_ux_divpassoc_ndenom,"['uy', 'ux', 'divpassoc', 'ndenom', 'mdenom', 'divisionring', 'divpinv', 'divpeqdivpiff', 'divpdivpeqdivpmul', 'divpadddivpsame']","['theorem cast_sub_of_ne_zero {m n : ℚ}\n  (m0 : (m.denom : α) ≠ 0) (n0 : (n.denom : α) ≠ 0) : ((m - n : ℚ) : α) = m - n', 'theorem cast_div_of_ne_zero {m n : ℚ} (md : (m.denom : α) ≠ 0)\n  (nn : (n.num : α) ≠ 0) (nd : (n.denom : α) ≠ 0) : ((m / n : ℚ) : α) = m / n', 'lemma divp_eq_divp_iff {x y : α} {ux uy : αˣ} :\n  x /ₚ ux = y /ₚ uy ↔ x * uy = y * ux']"
115,114,24,114_btw_andandandcomm_iffiffeq_succreciff,"['btw', 'andandandcomm', 'iffiffeq', 'succreciff', 'sbtwiffbtwnotbtw', 'relor', 'reliff', 'oranddistribright', 'oranddistribleft', 'impcongrctx']","['theorem and_iff_left_iff_imp {a b : Prop} : ((a ∧ b) ↔ a) ↔ (a → b)', 'lemma succ.rec_iff {p : α → Prop} (hsucc : ∀ a, p a ↔ p (succ a)) {a b : α} (h : a ≤ b) :\n  p a ↔ p b', 'lemma sbtw_iff_btw_not_btw {a b c : α} : sbtw a b c ↔ btw a b c ∧ ¬btw c b a']"
116,115,24,115_generalizedheytingalgebra_hashimp_b2_lehimpiffleft,"['generalizedheytingalgebra', 'hashimp', 'b2', 'lehimpiffleft', 'infleinfright', 'infhimple', 'himplehimpleft', 'himplehimphimphimp', 'himpinfdistrib', 'himpeq']","['lemma inf_le_inf_right (a : α) {b c : α} (h : b ≤ c) : b ⊓ a ≤ c ⊓ a', 'lemma bihimp_eq_left : a ⇔ b = a ↔ b = ⊤', 'lemma bihimp_snd [generalized_heyting_algebra α] [generalized_heyting_algebra β]\n  (a b : α × β) :\n  (a ⇔ b).2 = a.2 ⇔ b.2']"
117,116,23,116_ioo_setioo_cioo_fupdate,"['ioo', 'setioo', 'cioo', 'fupdate', 'addmemiooiffleft', 'imagecoeioo', 'imageioo', 'dualioo', 'iccsubsetioo', 'addmemiooiffright']","['lemma Ioo_add_bij : bij_on (+d) (Ioo a b) (Ioo (a + d) (b + d))', ""lemma dual_Ioo : Ioo (to_dual a) (to_dual b) = of_dual ⁻¹' Ioo b a"", 'lemma preimage_neg_Ioo : - Ioo a b = Ioo (-b) (-a)']"
118,117,23,117_max_maximum_coemax_tmax,"['max', 'maximum', 'coemax', 'tmax', 'argmax', 'rbnode', 'maxbotright', 'maxeq', 'maxchoice', 'maxcases']","['lemma max_bot_right [order_bot α] (a : α) : max a ⊥ = a', 'theorem max_choice (a b : α) : max a b = a ∨ max a b = b', 'theorem cast_max : (↑(max a b) : α) = max a b']"
119,118,23,118_succ_unpair_choose_castsucc,"['succ', 'unpair', 'choose', 'castsucc', 'natsucc', 'unpairaddle', 'succnezero', 'ordersucc', 'succdef', 'lesucc']","['lemma succ_ne_zero (n : ℕ) : succ n ≠ 0', ""theorem succ_inj' {n m : ℕ} : succ n = succ m ↔ n = m"", 'lemma succ_eq_one_add (n : ℕ) : n.succ = 1 + n']"
120,119,23,119_zipwith_la_lb_lnth,"['zipwith', 'la', 'lb', 'lnth', 'lmapwithindex', 'llength', 'ltail', 'zipwith3', 'mapwithindex', 'ynth']","['lemma zip_with3_same_right (f : α → β → β → γ) : ∀ (la : list α) (lb : list β),\n  zip_with3 f la lb lb = zip_with (λ a b, f a b b) la lb', 'lemma zip_with3_same_left (f : α → α → β → γ) : ∀ (la : list α) (lb : list β),\n  zip_with3 f la la lb = zip_with (λ a b, f a a b) la lb', ""lemma zip_with_append (f : α → β → γ) (l la : list α) (l' lb : list β) (h : l.length = l'.length) :\n  zip_with f (l ++ la) (l' ++ lb) = zip_with f l l' ++ zip_with f la lb""]"
121,120,23,120_last_snoc_castsucc_consnenil,"['last', 'snoc', 'castsucc', 'consnenil', 'fin', 'castpred', 'finlast', 'castle', 'castlt', 'normalizefinlt']","['lemma cast_succ_cast_pred {i : fin (n + 2)} (h : i < last _) : cast_succ i.cast_pred = i', 'lemma pred_above_last : pred_above (fin.last n) = cast_pred', 'lemma snoc_last : snoc p x (last n) = x']"
122,121,22,121_e2_t2_e1_commring,"['e2', 't2', 'e1', 'commring', 'mulleftinj', 't1', 'nozerodivisors', 'n2', 'functionconstnezero', 'mulnezerocomm']","['lemma zero_mul_eq {α} {R : α → α → Prop} [semiring α] {a b : α} (h : a = 0) (_ : R b 0) :\n  a * b = 0', 'theorem mul_assoc_rev {α} [semigroup α] (a b c : α) : a * (b * c) = a * b * c', 'lemma mul_subst {α} [comm_ring α] {n1 n2 k e1 e2 t1 t2 : α} (h1 : n1 * e1 = t1) (h2 : n2 * e2 = t2)\n     (h3 : n1*n2 = k) : k * (e1 * e2) = t1 * t2']"
123,122,22,122_partialorder_ltifflenotle_ltiff_notlteq,"['partialorder', 'ltifflenotle', 'ltiff', 'notlteq', 'notlt', 'notleoflt', 'notgtiffeq', 'notcovbyiff', 'neleifflt', 'ltiffnotge']","['lemma mk_lt_mk : (a₁, b₁) < (a₂, b₂) ↔ a₁ < a₂ ∧ b₁ ≤ b₂ ∨ a₁ ≤ a₂ ∧ b₁ < b₂', 'lemma not_le_of_lt [preorder α] {a b : α} (h : a < b) : ¬ b ≤ a', 'lemma lt_iff (hf : right_ord_continuous f) (h : injective f) {x y} :\n  f x < f y ↔ x < y']"
124,123,22,123_preimagemulrightone_ordconnectedsingleton_anysingleton_pairwisepairofsymmetric,"['preimagemulrightone', 'ordconnectedsingleton', 'anysingleton', 'pairwisepairofsymmetric', 'preimagefloorzero', 'preimagemulleftone', 'nonemptysubsetsingletoniff', 'setofeqeqsingleton', 'setpairwise', 'singletonsubsetsetiff']","['theorem any_singleton {P : α → Prop} {x : α} : any P (singleton x) ↔ P x', ""lemma preimage_floor_zero : (floor : α → ℕ) ⁻¹' {0} = Iio 1"", ""lemma eval_preimage' [decidable_eq ι] {s : set (α i)} :\n  eval i ⁻¹' s = pi {i} (update (λ i, univ) i s)""]"
125,124,22,124_sublistsaux_powersetaux_gcontinuantsaux_xgcdaux,"['sublistsaux', 'powersetaux', 'gcontinuantsaux', 'xgcdaux', 'sqrtaux', 'sigmafst', 'gterminatedat', 'terminatedatn', 'cons', 'list']","['theorem sublists_aux_eq_foldr (l : list α) : ∀ (f : list α → list β → list β),\n  sublists_aux l f = foldr f [] (sublists_aux l cons)', 'theorem sublists_aux_cons_eq_sublists_aux₁ (l : list α) :\n  sublists_aux l cons = sublists_aux₁ l (λ x, [x])', 'theorem sublists_aux_cons_append (l₁ l₂ : list α) :\n  sublists_aux (l₁ ++ l₂) cons = sublists_aux l₁ cons ++\n    (do x ← sublists_aux l₂ cons, (++ x) <$> sublists l₁)']"
126,125,22,125_zpowmul_invzpow_coezpow_groupwithzero,"['zpowmul', 'invzpow', 'coezpow', 'groupwithzero', 'zpowposofpos', 'mapzpow', 'pairwisedisjointioomulzpow', 'zerozpow', 'onezpow', 'oneltzpow']","['lemma pairwise_disjoint_Ioo_mul_zpow :\n  pairwise (disjoint on λ n : ℤ, Ioo (a * b ^ n) (a * b ^ (n + 1)))', 'lemma zpow_bit0_abs (a : α) (p : ℤ) : |a| ^ bit0 p = a ^ bit0 p', 'lemma zpow_bit0_pos (h : a ≠ 0) (n : ℤ) : 0 < a ^ bit0 n']"
127,126,22,126_revzip_zip_unzip_natsize,"['revzip', 'zip', 'unzip', 'natsize', 'powersetaux', 'size', 'revzipsublists', 'lsublists', 'lmap', 'l2']","[""theorem revzip_powerset_aux_perm_aux' {l : list α} :\n  revzip (powerset_aux l) ~ revzip (powerset_aux' l)"", 'theorem unzip_zip_right {l₁ : list α} {l₂ : list β} (h : length l₂ ≤ length l₁) :\n  (unzip (zip l₁ l₂)).2 = l₂', 'theorem unzip_revzip (l : list α) : (revzip l).unzip = (l, l.reverse)']"
128,127,22,127_factormultiset_dvdiff_natprimes_pprime,"['factormultiset', 'dvdiff', 'natprimes', 'pprime', 'addoneleiff', 'factormultisetleiff', 'coepnatnat', 'coepnatprime', 'countfactormultiset', 'existsprimeanddvd']","['theorem pos (n : ℕ+) : 0 < (n : ℕ)', 'lemma exists_prime_and_dvd {n : ℕ+} (hn : n ≠ 1) : (∃ (p : ℕ+), p.prime ∧ p ∣ n)', 'lemma mk_le_mk (n k : ℕ) (hn : 0 < n) (hk : 0 < k) :\n  (⟨n, hn⟩ : ℕ+) ≤ ⟨k, hk⟩ ↔ n ≤ k']"
129,128,22,128_issmulregular_isregular_qrmatch_reflectsepimorphisms,"['issmulregular', 'isregular', 'qrmatch', 'reflectsepimorphisms', 'regularexpression', 'srestrict', 'prmatch', 'replace', 'frestrict', 'reflectsmonomorphisms']","['lemma plus_def (P Q : regular_expression α) : plus P Q = P + Q', 'lemma mul [has_mul R] [is_scalar_tower R R M]\n  (ra : is_smul_regular M a) (rb : is_smul_regular M b) : is_smul_regular M (a * b)', ""theorem mem_replace {a a' : α} {b : β a} {s : alist β} :\n  a' ∈ replace a b s ↔ a' ∈ s""]"
130,129,22,129_filtermap_filter_option_lfilter,"['filtermap', 'filter', 'option', 'lfilter', 'filtermapconsnone', 'decidablepred', 'pwfilter', 'join', 'filtermapappend', 'filtermapconssome']","['theorem map_filter (f : β → α) (l : list β) :\n  filter p (map f l) = map f (filter (p ∘ f) l)', 'theorem filter_filter_map (f : α → option β) (p : β → Prop) [decidable_pred p] (l : list α) :\n  filter p (filter_map f l) = filter_map (λ x, (f x).filter p) l', 'theorem map_filter_map_some_eq_filter_map_is_some (f : α → option β) (l : list α) :\n  (l.filter_map f).map some = (l.map f).filter (λ b, b.is_some)']"
131,130,22,130_rcore_insertinterdistrib_tite_ssigma,"['rcore', 'insertinterdistrib', 'tite', 'ssigma', 'insert', 'etarget', 'binterinter', 'unioninterofmonotone', 'intercongrright', 'intereqleftiffsubset']","['theorem singleton_inter_of_not_mem {a : α} {s : finset α} (H : a ∉ s) : {a} ∩ s = ∅', 'lemma insert_inter_distrib (a : α) (s t : set α) : insert a (s ∩ t) = insert a s ∩ insert a t', 'lemma insert_inter_distrib (s t : finset α) (a : α) : insert a (s ∩ t) = insert a s ∩ insert a t']"
132,131,21,131_const_typevecconst_ktoznum_eiscs,"['const', 'typevecconst', 'ktoznum', 'eiscs', 'constinj', 'constmul', 'constlimzero', 'addconst', 'cseval', 'constinv']","['theorem const_lt {x y : α} : const x < const y ↔ x < y', 'theorem const_mul (x y : β) : const (x * y) = const x * const y', 'theorem const_equiv {x y : β} : const x ≈ const y ↔ x = y']"
133,132,21,132_spi_pi_univ_smulpi,"['spi', 'pi', 'univ', 'smulpi', 'pieval', 'mulaction', 'piequivpisubtypeprod', 'pimono', 'pieqemptyiff', 'picongr']","[""lemma pairwise_disjoint_pi {ι' α : ι → Type*} {s : Π i, set (ι' i)} {f : Π i, ι' i → set (α i)}\n  (hs : ∀ i, (s i).pairwise_disjoint (f i)) :\n  ((univ : set ι).pi s).pairwise_disjoint (λ I, (univ : set ι).pi (λ i, f _ (I i)))"", 'lemma Union_univ_pi (t : Π i, ι → set (π i)) :\n  (⋃ (x : α → ι), pi univ (λ i, t i (x i))) = pi univ (λ i, ⋃ (j : ι), t i j)', 'lemma empty_pi (s : Π i, set (α i)) : pi ∅ s = univ']"
134,133,21,133_withbot_addmonoidwithone_addbot_coenebot,"['withbot', 'addmonoidwithone', 'addbot', 'coenebot', 'withbotrangeeq', 'nebotoflenebot', 'noneeqbot', 'addeqcoe', 'oneleiffzerolt', 'predcoebot']","['lemma succ_coe (a : α) : succ (↑a : with_bot α) = ↑(succ a)', 'lemma mul_def {a b : with_bot α} :\n  a * b = if a = 0 ∨ b = 0 then 0 else option.map₂ (*) a b', 'lemma with_bot.range_eq {α β} (f : with_bot α → β) :\n  range f = insert (f ⊥) (range (f ∘ coe : α → β))']"
135,134,21,134_bddabove_bddbelow_image2_lowerbounds,"['bddabove', 'bddbelow', 'image2', 'lowerbounds', 'upperbounds', 'galoisconnection', 'finlast', 'bddbelowsmulofnonpos', 'bddabovebddbelowimage2ofbddabove', 'bddbelowinterofleft']","['lemma image2_upper_bounds_upper_bounds_subset_upper_bounds_image2 :\n  image2 f (lower_bounds s) (lower_bounds t) ⊆ upper_bounds (image2 f s t)', 'lemma bdd_above.bdd_below_image2_of_bdd_above :\n  bdd_above s → bdd_below t → bdd_below (image2 f s t)', 'lemma bdd_above.image2_bdd_below : bdd_above s → bdd_above t → bdd_below (image2 f s t)']"
136,135,21,135_bit1_bit0_semiring_linearorderedsemiring,"['bit1', 'bit0', 'semiring', 'linearorderedsemiring', 'natabs', 'int', 'addbit0bit0', 'zpowbit0posiff', 'coebit1', 'adconebit0']","['theorem sle_bit1_bit1 {α} [linear_ordered_semiring α] (a b : α) (h : a + 1 ≤ b) :\n  bit1 a + 1 ≤ bit1 b', 'theorem adc_bit1_bit1 {α} [semiring α] (a b c : α) (h : a + b + 1 = c) :\n  bit1 a + bit1 b + 1 = bit1 c', 'theorem sle_bit0_bit1 {α} [linear_ordered_semiring α] (a b : α) (h : a ≤ b) : bit0 a + 1 ≤ bit1 b']"
137,136,21,136_spiecewise_piecewisememicc_decidable_piecewiseeqofmem,"['spiecewise', 'piecewisememicc', 'decidable', 'piecewiseeqofmem', 'piecewiseinsertself', 'insert', 'seticc', 'const', 'pi', 'piecewise']","['lemma le_piecewise {δ : α → Type*} [Π i, preorder (δ i)] {s : set α} [Π j, decidable (j ∈ s)]\n  {f₁ f₂ g : Π i, δ i} (h₁ : ∀ i ∈ s, g i ≤ f₁ i) (h₂ : ∀ i ∉ s, g i ≤ f₂ i) :\n  g ≤ s.piecewise f₁ f₂', 'lemma piecewise_insert_self [decidable_eq α] {j : α} [∀ i, decidable (i ∈ insert j s)] :\n  (insert j s).piecewise f g j = f j', 'lemma piecewise_insert_self {j : α} [∀i, decidable (i ∈ insert j s)] :\n  (insert j s).piecewise f g j = f j']"
138,137,21,137_coeeqzero_1n_inverseone_codomaintrivialiffrangetrivial,"['coeeqzero', '1n', 'inverseone', 'codomaintrivialiffrangetrivial', 'associatedeqzeroiff', 'extringiff', 'codomaintrivialiffmaponeeqzero', 'rightnezeroofmuleqone', 'factorshelperend', 'eqoneiffeqoneofmuleqone']","['lemma coe_eq_zero {x : Icc (0:α) 1} : (x : α) = 0 ↔ x = 0', 'lemma mk_one [nontrivial α] (h : (1 : α) ∈ Ioc (0 : α) 1) : (⟨1, h⟩ : Ioc (0:α) 1) = 1', 'lemma coe_eq_zero [nontrivial α] {x : Ico (0:α) 1} : (x : α) = 0 ↔ x = 0']"
139,138,21,138_dual_size_ordnode_valid,"['dual', 'size', 'ordnode', 'valid', 'all', 'balancedsz', 'node3l', 'glue', 'node3r', 'node4l']","['theorem dual_node4_r (l : ordnode α) (x : α) (m : ordnode α) (y : α) (r : ordnode α) :\n  dual (node4_r l x m y r) = node4_l (dual r) y (dual m) x (dual l)', 'theorem dual_node3_l (l : ordnode α) (x : α) (m : ordnode α) (y : α) (r : ordnode α) :\n  dual (node3_l l x m y r) = node3_r (dual r) y (dual m) x (dual l)', ""theorem valid'.dual : ∀ {t : ordnode α} {o₁ o₂} (h : valid' o₁ t o₂), @valid' αᵒᵈ _ o₂ (dual t) o₁""]"
140,139,20,139_ltake_take_iprod_lengthtake,"['ltake', 'take', 'iprod', 'lengthtake', 'nthle', 'llength', 'ldrop', 'ftake', 'takeeqtake', 'i1drop']","['lemma map_take {α β : Type*} (f : α → β) :\n  ∀ (L : list α) (i : ℕ), (L.take i).map f = (L.map f).take i', 'theorem take_cons (n) (a : α) (l : list α) : take (succ n) (a::l) = a :: take n l', 'lemma take_sublist (n) (l : list α) : take n l <+ l']"
141,140,20,140_update_lupdatenth_fupdate_adjunitapp,"['update', 'lupdatenth', 'fupdate', 'adjunitapp', 'xmap', 'inl', 'decidableeq', 'icc', 'fapp', 'snoc']","['lemma update_lt_update_iff : update x i a < update x i b ↔ a < b', 'lemma lt_to_lex_update_self_iff : to_lex x < to_lex (update x i a) ↔ x i < a', 'lemma update_one [Π i, has_one (f i)] [decidable_eq I] (i : I) :\n  update (1 : Π i, f i) i 1 = 1']"
142,141,20,141_hv_hu_picons_symcast,"['hv', 'hu', 'picons', 'symcast', 'ecast', 'gmap', 'fincast', 'atolist', 'eqrecon', 'array']","[""lemma hom.cast_heq {u v u' v' : U} (hu : u = u') (hv : v = v') (e : u ⟶ v) :\n  e.cast hu hv == e"", ""lemma hom.eq_cast_iff_heq {u v u' v' : U} (hu : u = u') (hv : v = v')\n  (e : u ⟶ v) (e' : u' ⟶ v') : e' = e.cast hu hv ↔ e' == e"", ""lemma hom.cast_eq_cast {u v u' v' : U} (hu : u = u') (hv : v = v') (e : u ⟶ v) :\n  e.cast hu hv = cast (by rw [hu, hv]) e""]"
143,142,20,142_mod_zmod_modeqone_moddivaux,"['mod', 'zmod', 'modeqone', 'moddivaux', 'addrightcancel', 'leofltadd', 'modeqsub', 'modeqneg', 'modeqandmodeqiffmodeqmul', 'moddivauxspec']","['theorem mul_right (c : ℕ) (h : a ≡ b [MOD n]) : a * c ≡ b * c [MOD n]', ""theorem add_right_cancel' (c : ℕ) (h : a + c ≡ b + c [MOD n]) : a ≡ b [MOD n]"", 'theorem mul_left (c : ℕ) (h : a ≡ b [MOD n]) : c * a ≡ c * b [MOD n]']"
144,143,20,143_eisimage_maximals_etarget_intersymmdiffdistribright,"['eisimage', 'maximals', 'etarget', 'intersymmdiffdistribright', 'unioninterofantitone', 'intersubsetite', 'intersmulunionsubsetunion', 'intersetofeqsep', 'intermaximalssubset', 'interinterintercomm']","[""lemma inj_on.image_inter {s t u : set α} (hf : u.inj_on f) (hs : s ⊆ u) (ht : t ⊆ u) :\n  f '' (s ∩ t) = f '' s ∩ f '' t"", 'lemma Union_inter_of_antitone {ι α} [preorder ι] [is_directed ι (swap (≤))] {s t : ι → set α}\n  (hs : antitone s) (ht : antitone t) : (⋃ i, s i ∩ t i) = (⋃ i, s i) ∩ (⋃ i, t i)', 'lemma inter_maximals_subset : s ∩ maximals r t ⊆ maximals r (s ∩ t)']"
145,144,20,144_natabs_anatabs_bnatabs_znatabs,"['natabs', 'anatabs', 'bnatabs', 'znatabs', 'int', 'natabszero', 'natabsdiv', 'coenatdvdleft', 'coenatdvdright', 'intnatabspos']","['lemma nat_abs_le_of_dvd_ne_zero {s t : ℤ} (hst : s ∣ t) (ht : t ≠ 0) : nat_abs s ≤ nat_abs t', 'lemma nat_abs_add_nonneg :\n  ∀ {a b : int}, 0 ≤ a → 0 ≤ b → nat_abs (a + b) = nat_abs a + nat_abs b', 'lemma nat_abs_zero : nat_abs (0 : int) = (0 : nat)']"
